,Age,Position,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Overall
16,21,21,172.72,143,60.0,60.0,60.0,65.0,63.0,63.0,63.0,65.0,62.0,62.0,62.0,65.0,58.0,58.0,58.0,65.0,58.0,53.0,53.0,53.0,58.0,56.0,49.0,49.0,49.0,56.0,62.0,54.0,45.0,56.0,51.0,67.0,58.0,56.0,53.0,65.0,92.0,90.0,87.0,56.0,79.0,65.0,62.0,78.0,59.0,56.0,45.0,43.0,60.0,60.0,52.0,61.0,49.0,46.0,38.0,11.0,13.0,16.0,13.0,15.0,7
17,27,19,175.26,165,71.0,71.0,71.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,73.0,72.0,72.0,72.0,73.0,65.0,65.0,65.0,65.0,65.0,63.0,59.0,59.0,59.0,63.0,73.0,71.0,57.0,75.0,67.0,78.0,78.0,73.0,74.0,77.0,66.0,70.0,77.0,73.0,80.0,82.0,52.0,71.0,61.0,77.0,80.0,54.0,73.0,76.0,75.0,71.0,49.0,53.0,59.0,15.0,10.0,15.0,16.0,10.0,8
18,21,23,187.96,183,55.0,55.0,55.0,55.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,57.0,57.0,57.0,57.0,57.0,62.0,62.0,62.0,62.0,62.0,62.0,64.0,64.0,64.0,62.0,55.0,41.0,64.0,58.0,49.0,56.0,47.0,44.0,57.0,58.0,62.0,68.0,64.0,63.0,60.0,58.0,69.0,76.0,75.0,44.0,75.0,64.0,50.0,51.0,49.0,55.0,65.0,63.0,58.0,10.0,12.0,7.0,9.0,14.0,7
19,26,10,177.8,161,46.0,46.0,46.0,47.0,46.0,46.0,46.0,47.0,48.0,48.0,48.0,50.0,52.0,52.0,52.0,50.0,57.0,60.0,60.0,60.0,57.0,58.0,63.0,63.0,63.0,58.0,35.0,20.0,63.0,62.0,26.0,61.0,32.0,25.0,60.0,65.0,60.0,60.0,57.0,41.0,70.0,53.0,75.0,70.0,85.0,21.0,60.0,59.0,25.0,34.0,36.0,66.0,60.0,64.0,66.0,14.0,14.0,10.0,12.0,9.0,7
20,21,3,175.26,139,51.0,51.0,51.0,54.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0,55.0,50.0,50.0,50.0,55.0,54.0,50.0,50.0,50.0,54.0,54.0,50.0,50.0,50.0,54.0,52.0,42.0,45.0,54.0,42.0,54.0,53.0,40.0,51.0,50.0,79.0,82.0,55.0,47.0,79.0,49.0,64.0,63.0,58.0,42.0,51.0,44.0,55.0,45.0,40.0,56.0,47.0,50.0,52.0,11.0,6.0,8.0,10.0,6.0,6
21,23,14,190.5,172,48.0,48.0,48.0,45.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,47.0,52.0,52.0,52.0,47.0,60.0,65.0,65.0,65.0,60.0,62.0,70.0,70.0,70.0,62.0,34.0,30.0,74.0,65.0,27.0,48.0,27.0,27.0,44.0,55.0,56.0,37.0,44.0,66.0,49.0,50.0,49.0,73.0,78.0,31.0,81.0,72.0,31.0,30.0,45.0,64.0,68.0,76.0,68.0,9.0,9.0,14.0,14.0,13.0,8
22,28,19,182.88,163,76.0,76.0,76.0,75.0,76.0,76.0,76.0,75.0,76.0,76.0,76.0,75.0,73.0,73.0,73.0,75.0,64.0,65.0,65.0,65.0,64.0,62.0,61.0,61.0,61.0,62.0,76.0,79.0,76.0,74.0,75.0,74.0,76.0,75.0,75.0,78.0,65.0,74.0,72.0,77.0,51.0,77.0,69.0,68.0,78.0,74.0,60.0,55.0,80.0,79.0,75.0,72.0,57.0,50.0,38.0,8.0,8.0,10.0,6.0,10.0,8
23,30,3,182.88,174,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,62.0,62.0,62.0,61.0,64.0,64.0,64.0,61.0,63.0,66.0,66.0,66.0,63.0,63.0,64.0,64.0,64.0,63.0,55.0,48.0,54.0,67.0,51.0,61.0,59.0,58.0,61.0,68.0,62.0,49.0,66.0,66.0,57.0,60.0,65.0,77.0,74.0,66.0,74.0,62.0,61.0,59.0,58.0,73.0,65.0,65.0,63.0,6.0,7.0,16.0,6.0,16.0,7
24,20,13,177.8,159,51.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,55.0,56.0,58.0,58.0,58.0,56.0,56.0,57.0,57.0,57.0,56.0,43.0,33.0,53.0,61.0,42.0,54.0,48.0,47.0,57.0,61.0,62.0,60.0,62.0,54.0,69.0,51.0,64.0,63.0,63.0,41.0,65.0,55.0,54.0,57.0,52.0,52.0,55.0,58.0,55.0,9.0,12.0,6.0,15.0,11.0,6
25,25,8,177.8,163,65.0,65.0,65.0,71.0,69.0,69.0,69.0,71.0,72.0,72.0,72.0,72.0,71.0,71.0,71.0,72.0,61.0,62.0,62.0,62.0,61.0,57.0,52.0,52.0,52.0,57.0,69.0,65.0,38.0,80.0,51.0,69.0,70.0,62.0,77.0,74.0,74.0,71.0,88.0,60.0,72.0,67.0,69.0,84.0,75.0,66.0,44.0,42.0,72.0,75.0,68.0,84.0,60.0,50.0,26.0,11.0,6.0,14.0,8.0,11.0,8
26,22,21,177.8,137,56.0,56.0,56.0,61.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,62.0,56.0,56.0,56.0,62.0,51.0,48.0,48.0,48.0,51.0,49.0,42.0,42.0,42.0,49.0,61.0,54.0,49.0,64.0,48.0,66.0,61.0,52.0,62.0,61.0,82.0,74.0,60.0,50.0,73.0,57.0,54.0,56.0,40.0,47.0,46.0,33.0,56.0,59.0,54.0,54.0,43.0,32.0,33.0,12.0,14.0,15.0,6.0,12.0,7
27,26,22,170.18,143,66.0,66.0,66.0,69.0,69.0,69.0,69.0,69.0,71.0,71.0,71.0,70.0,71.0,71.0,71.0,70.0,68.0,69.0,69.0,69.0,68.0,66.0,65.0,65.0,65.0,66.0,60.0,65.0,56.0,77.0,49.0,75.0,61.0,58.0,73.0,72.0,64.0,68.0,82.0,72.0,75.0,63.0,64.0,79.0,70.0,64.0,60.0,66.0,65.0,69.0,53.0,67.0,73.0,59.0,58.0,12.0,6.0,12.0,11.0,6.0,8
28,34,17,177.8,172,67.0,67.0,67.0,64.0,65.0,65.0,65.0,64.0,63.0,63.0,63.0,62.0,56.0,56.0,56.0,62.0,47.0,44.0,44.0,44.0,47.0,45.0,43.0,43.0,43.0,45.0,58.0,71.0,75.0,61.0,64.0,75.0,59.0,53.0,42.0,66.0,63.0,65.0,43.0,63.0,72.0,71.0,58.0,47.0,69.0,77.0,52.0,23.0,56.0,60.0,75.0,73.0,14.0,33.0,30.0,11.0,14.0,15.0,12.0,13.0,7
29,25,7,180.34,174,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,73.0,73.0,73.0,78.0,62.0,59.0,59.0,59.0,62.0,58.0,53.0,53.0,53.0,58.0,78.0,82.0,73.0,76.0,81.0,78.0,78.0,74.0,68.0,79.0,78.0,77.0,79.0,81.0,78.0,83.0,75.0,82.0,77.0,81.0,63.0,39.0,83.0,78.0,65.0,76.0,29.0,40.0,30.0,11.0,15.0,16.0,12.0,15.0,9
30,30,14,180.34,174,42.0,42.0,42.0,38.0,39.0,39.0,39.0,38.0,42.0,42.0,42.0,42.0,50.0,50.0,50.0,42.0,53.0,59.0,59.0,59.0,53.0,56.0,62.0,62.0,62.0,56.0,25.0,24.0,70.0,56.0,21.0,29.0,22.0,22.0,70.0,46.0,52.0,48.0,49.0,57.0,63.0,37.0,74.0,75.0,75.0,35.0,56.0,59.0,29.0,33.0,32.0,53.0,61.0,66.0,61.0,9.0,9.0,16.0,10.0,11.0,7
31,28,9,172.72,146,69.0,69.0,69.0,72.0,71.0,71.0,71.0,72.0,69.0,69.0,69.0,71.0,61.0,61.0,61.0,71.0,58.0,51.0,51.0,51.0,58.0,54.0,45.0,45.0,45.0,54.0,70.0,68.0,43.0,64.0,55.0,76.0,65.0,42.0,42.0,72.0,90.0,91.0,83.0,72.0,80.0,80.0,51.0,75.0,58.0,64.0,78.0,41.0,71.0,59.0,62.0,71.0,31.0,27.0,30.0,14.0,12.0,9.0,5.0,11.0,8
32,29,13,177.8,148,58.0,58.0,58.0,59.0,58.0,58.0,58.0,59.0,58.0,58.0,58.0,61.0,60.0,60.0,60.0,61.0,62.0,61.0,61.0,61.0,62.0,61.0,58.0,58.0,58.0,61.0,57.0,53.0,48.0,59.0,47.0,60.0,46.0,48.0,58.0,62.0,70.0,68.0,69.0,61.0,74.0,58.0,61.0,91.0,72.0,51.0,62.0,60.0,57.0,54.0,54.0,58.0,56.0,58.0,54.0,8.0,12.0,12.0,9.0,7.0,7
33,26,17,180.34,165,63.0,63.0,63.0,63.0,64.0,64.0,64.0,63.0,64.0,64.0,64.0,62.0,59.0,59.0,59.0,62.0,51.0,50.0,50.0,50.0,51.0,50.0,46.0,46.0,46.0,50.0,43.0,58.0,58.0,63.0,55.0,66.0,49.0,45.0,57.0,62.0,73.0,74.0,72.0,71.0,63.0,71.0,58.0,59.0,63.0,63.0,55.0,37.0,63.0,65.0,62.0,60.0,24.0,32.0,43.0,7.0,11.0,7.0,11.0,9.0,7
34,26,2,182.88,157,67.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,72.0,71.0,71.0,71.0,72.0,71.0,55.0,69.0,72.0,61.0,71.0,62.0,42.0,74.0,73.0,77.0,71.0,61.0,81.0,62.0,64.0,63.0,85.0,71.0,52.0,67.0,67.0,66.0,76.0,42.0,81.0,74.0,77.0,64.0,7.0,16.0,13.0,7.0,9.0,8
35,20,19,177.8,159,57.0,57.0,57.0,64.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,61.0,61.0,61.0,64.0,54.0,52.0,52.0,52.0,54.0,51.0,45.0,45.0,45.0,51.0,66.0,64.0,36.0,70.0,44.0,65.0,50.0,53.0,63.0,69.0,67.0,66.0,68.0,59.0,70.0,51.0,56.0,62.0,53.0,67.0,48.0,24.0,49.0,67.0,47.0,59.0,48.0,36.0,46.0,11.0,8.0,12.0,11.0,6.0,7
36,23,7,182.88,150,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,63.0,63.0,63.0,63.0,53.0,53.0,53.0,63.0,46.0,40.0,40.0,40.0,46.0,44.0,38.0,38.0,38.0,44.0,45.0,67.0,69.0,55.0,45.0,74.0,62.0,67.0,40.0,73.0,86.0,85.0,75.0,55.0,63.0,64.0,68.0,56.0,47.0,50.0,30.0,14.0,55.0,56.0,60.0,74.0,41.0,21.0,14.0,5.0,10.0,8.0,11.0,10.0,7
37,30,8,190.5,170,55.0,55.0,55.0,53.0,54.0,54.0,54.0,53.0,55.0,55.0,55.0,55.0,58.0,58.0,58.0,55.0,59.0,61.0,61.0,61.0,59.0,59.0,62.0,62.0,62.0,59.0,50.0,48.0,61.0,63.0,46.0,50.0,56.0,45.0,62.0,56.0,54.0,58.0,50.0,61.0,49.0,65.0,52.0,71.0,80.0,62.0,67.0,54.0,41.0,57.0,58.0,53.0,59.0,65.0,62.0,12.0,6.0,12.0,6.0,8.0,7
38,21,21,175.26,150,59.0,59.0,59.0,63.0,62.0,62.0,62.0,63.0,62.0,62.0,62.0,62.0,58.0,58.0,58.0,62.0,57.0,54.0,54.0,54.0,57.0,56.0,50.0,50.0,50.0,56.0,54.0,63.0,44.0,58.0,41.0,64.0,38.0,38.0,51.0,63.0,77.0,76.0,79.0,60.0,76.0,55.0,56.0,65.0,44.0,62.0,59.0,51.0,62.0,57.0,44.0,55.0,50.0,44.0,51.0,6.0,5.0,15.0,9.0,12.0,7
39,27,7,180.34,163,75.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,75.0,75.0,75.0,75.0,69.0,69.0,69.0,75.0,60.0,59.0,59.0,59.0,60.0,57.0,54.0,54.0,54.0,57.0,74.0,72.0,74.0,76.0,75.0,78.0,72.0,61.0,62.0,79.0,77.0,75.0,78.0,77.0,67.0,76.0,71.0,77.0,68.0,72.0,72.0,30.0,78.0,72.0,78.0,76.0,68.0,30.0,26.0,11.0,6.0,8.0,12.0,6.0,8
40,37,8,177.8,143,66.0,66.0,66.0,67.0,68.0,68.0,68.0,67.0,69.0,69.0,69.0,67.0,69.0,69.0,69.0,67.0,62.0,65.0,65.0,65.0,62.0,59.0,59.0,59.0,59.0,59.0,68.0,64.0,61.0,76.0,68.0,69.0,79.0,79.0,71.0,71.0,56.0,50.0,62.0,65.0,72.0,75.0,54.0,64.0,60.0,71.0,71.0,71.0,72.0,73.0,75.0,79.0,70.0,43.0,40.0,9.0,12.0,13.0,11.0,11.0,8
41,34,3,170.18,150,68.0,68.0,68.0,74.0,72.0,72.0,72.0,74.0,72.0,72.0,72.0,74.0,70.0,70.0,70.0,74.0,73.0,68.0,68.0,68.0,73.0,72.0,64.0,64.0,64.0,72.0,75.0,68.0,52.0,68.0,60.0,76.0,59.0,46.0,70.0,73.0,84.0,92.0,89.0,77.0,87.0,69.0,70.0,78.0,44.0,70.0,60.0,67.0,67.0,66.0,59.0,65.0,67.0,70.0,68.0,12.0,15.0,12.0,9.0,10.0,8
42,21,19,175.26,150,65.0,65.0,65.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,63.0,63.0,63.0,68.0,56.0,53.0,53.0,53.0,56.0,54.0,48.0,48.0,48.0,54.0,63.0,63.0,55.0,64.0,61.0,75.0,65.0,63.0,63.0,73.0,76.0,73.0,74.0,59.0,75.0,66.0,58.0,65.0,62.0,62.0,47.0,31.0,66.0,71.0,57.0,71.0,37.0,46.0,46.0,7.0,16.0,9.0,11.0,16.0,7
43,22,23,177.8,150,53.0,53.0,53.0,58.0,56.0,56.0,56.0,58.0,56.0,56.0,56.0,60.0,56.0,56.0,56.0,60.0,65.0,60.0,60.0,60.0,65.0,65.0,61.0,61.0,61.0,65.0,68.0,29.0,53.0,61.0,33.0,64.0,52.0,34.0,43.0,65.0,69.0,75.0,67.0,62.0,70.0,58.0,68.0,68.0,50.0,36.0,57.0,66.0,56.0,49.0,43.0,55.0,65.0,64.0,62.0,11.0,15.0,13.0,15.0,11.0,7
44,23,21,177.8,161,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,60.0,60.0,60.0,64.0,52.0,49.0,49.0,49.0,52.0,50.0,44.0,44.0,44.0,50.0,52.0,67.0,58.0,63.0,52.0,66.0,66.0,62.0,62.0,62.0,74.0,71.0,69.0,58.0,63.0,59.0,58.0,73.0,56.0,61.0,44.0,30.0,70.0,61.0,44.0,65.0,34.0,35.0,36.0,12.0,15.0,13.0,14.0,7.0,7
45,28,3,182.88,165,63.0,63.0,63.0,66.0,65.0,65.0,65.0,66.0,65.0,65.0,65.0,68.0,68.0,68.0,68.0,68.0,72.0,70.0,70.0,70.0,72.0,71.0,69.0,69.0,69.0,71.0,74.0,42.0,58.0,70.0,42.0,70.0,75.0,32.0,70.0,70.0,72.0,73.0,68.0,72.0,72.0,77.0,68.0,80.0,66.0,70.0,75.0,74.0,62.0,58.0,40.0,69.0,65.0,72.0,72.0,7.0,10.0,10.0,16.0,6.0,8
46,30,17,182.88,168,69.0,69.0,69.0,66.0,67.0,67.0,67.0,66.0,66.0,66.0,66.0,65.0,61.0,61.0,61.0,65.0,51.0,51.0,51.0,51.0,51.0,49.0,48.0,48.0,48.0,49.0,59.0,69.0,74.0,67.0,69.0,68.0,58.0,42.0,62.0,68.0,68.0,66.0,69.0,68.0,70.0,72.0,68.0,66.0,77.0,66.0,75.0,28.0,66.0,60.0,73.0,71.0,25.0,31.0,30.0,12.0,9.0,9.0,9.0,7.0,8
47,23,14,182.88,165,60.0,60.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,68.0,66.0,66.0,66.0,68.0,68.0,67.0,67.0,67.0,68.0,67.0,35.0,59.0,70.0,42.0,62.0,68.0,58.0,52.0,67.0,68.0,69.0,68.0,71.0,64.0,71.0,67.0,70.0,68.0,64.0,65.0,68.0,63.0,57.0,32.0,66.0,67.0,70.0,69.0,10.0,14.0,12.0,13.0,13.0,7
48,19,13,182.88,185,53.0,53.0,53.0,56.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,57.0,58.0,58.0,58.0,57.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,62.0,37.0,53.0,64.0,30.0,50.0,52.0,59.0,60.0,59.0,62.0,66.0,63.0,59.0,65.0,55.0,59.0,56.0,69.0,45.0,54.0,62.0,56.0,61.0,41.0,53.0,59.0,62.0,59.0,8.0,10.0,15.0,8.0,13.0,7
49,21,13,172.72,159,62.0,62.0,62.0,65.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,68.0,68.0,68.0,68.0,68.0,67.0,66.0,66.0,66.0,67.0,64.0,57.0,55.0,72.0,49.0,68.0,64.0,66.0,67.0,69.0,77.0,72.0,75.0,63.0,77.0,70.0,71.0,76.0,69.0,68.0,70.0,68.0,46.0,64.0,61.0,65.0,67.0,67.0,64.0,10.0,6.0,12.0,9.0,14.0,7
50,20,10,182.88,168,35.0,35.0,35.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,36.0,36.0,36.0,35.0,46.0,47.0,47.0,47.0,46.0,48.0,55.0,55.0,55.0,48.0,20.0,16.0,51.0,32.0,25.0,33.0,21.0,15.0,27.0,39.0,63.0,55.0,63.0,46.0,63.0,29.0,81.0,59.0,70.0,22.0,66.0,54.0,26.0,31.0,39.0,48.0,53.0,58.0,53.0,14.0,11.0,12.0,13.0,14.0,6
51,32,10,177.8,170,49.0,49.0,49.0,55.0,52.0,52.0,52.0,55.0,53.0,53.0,53.0,57.0,56.0,56.0,56.0,57.0,66.0,65.0,65.0,65.0,66.0,68.0,71.0,71.0,71.0,68.0,60.0,20.0,62.0,60.0,14.0,61.0,28.0,25.0,50.0,60.0,69.0,69.0,67.0,74.0,67.0,32.0,88.0,60.0,71.0,32.0,75.0,71.0,49.0,41.0,28.0,66.0,73.0,76.0,72.0,11.0,15.0,15.0,12.0,13.0,8
