,Sex,Length (mm),Diameter (mm),Height (mm,Whole weight (g),Shucked weight (g),Viscera weight (g),Shell weight (g),Rings
94,M,0.525,0.4,0.17,0.7305,0.27899999999999997,0.2055,0.195,11
95,M,0.38,0.235,0.1,0.258,0.1055,0.054000000000000006,0.08,7
96,F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10
97,M,0.495,0.4,0.135,0.61,0.272,0.1435,0.14400000000000002,7
98,M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
99,F,0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,10
100,F,0.62,0.5,0.15,1.2930000000000001,0.596,0.3135,0.354,10
101,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9
102,F,0.515,0.425,0.135,0.7120000000000001,0.2665,0.1605,0.25,11
103,M,0.575,0.455,0.135,0.907,0.4245,0.19699999999999998,0.26,9
104,F,0.36,0.265,0.09,0.2165,0.096,0.037000000000000005,0.0735,10
105,I,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9
106,F,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14
107,M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
108,I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5
109,I,0.375,0.275,0.09,0.23800000000000002,0.1075,0.0545,0.07,6
110,I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14
111,M,0.66,0.53,0.175,1.5830000000000002,0.7395,0.3505,0.405,10
112,F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9
113,I,0.5,0.37,0.115,0.5745,0.306,0.11199999999999999,0.141,7
114,M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,21
115,M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
116,F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
117,M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8
118,F,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11
119,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
120,M,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11
121,F,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,11
122,M,0.53,0.415,0.14,0.7240000000000001,0.3105,0.1675,0.205,10
123,F,0.505,0.39,0.125,0.5445,0.24600000000000002,0.15,0.1405,7
124,I,0.58,0.445,0.15,0.8865,0.38299999999999995,0.209,0.255,11
125,M,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.34299999999999997,9
126,M,0.655,0.515,0.2,1.3730000000000002,0.44299999999999995,0.3375,0.49,16
127,I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11
128,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
129,I,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8
130,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
131,M,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,9
132,I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7
133,F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10
134,I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8
135,F,0.495,0.375,0.15,0.597,0.2615,0.135,0.17800000000000002,11
136,F,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11
137,M,0.645,0.51,0.155,1.5390000000000001,0.6405,0.3585,0.43,11
138,M,0.55,0.45,0.15,1.0145,0.40700000000000003,0.2015,0.2875,10
139,I,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6
140,M,0.57,0.415,0.13,0.88,0.4275,0.1955,0.23800000000000002,13
141,I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8
142,I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4
143,M,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17
144,I,0.51,0.375,0.1,0.5785,0.23800000000000002,0.1225,0.175,7
145,F,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11
146,M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
147,F,0.57,0.445,0.155,0.733,0.282,0.159,0.235,14
148,I,0.5,0.375,0.12,0.529,0.2235,0.12300000000000001,0.16,8
149,I,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,10
150,M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8
151,F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10
152,M,0.53,0.405,0.15,0.8315,0.35200000000000004,0.187,0.2525,10
153,I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7
154,F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
155,F,0.55,0.45,0.15,0.875,0.36200000000000004,0.1755,0.2765,10
156,I,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7
157,F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
158,I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8
159,I,0.42,0.31,0.095,0.27899999999999997,0.1255,0.051,0.08800000000000001,6
160,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
161,F,0.745,0.585,0.19,1.966,0.8435,0.43700000000000006,0.5855,18
162,F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12
163,F,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11
164,F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11
165,M,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11
166,I,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09,8
167,I,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,8
168,M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9
169,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
170,F,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
171,F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
172,I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6
173,F,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,9
174,F,0.635,0.5,0.18,1.3119999999999998,0.529,0.2485,0.485,18
175,M,0.565,0.45,0.115,0.9085,0.39799999999999996,0.19699999999999998,0.29,17
176,M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10
177,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
178,I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
179,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
180,F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6
181,F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21
182,I,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,8
183,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
184,I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7
185,M,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11
186,M,0.685,0.53,0.17,1.56,0.647,0.38299999999999995,0.465,11
187,M,0.695,0.55,0.195,1.6645,0.727,0.36,0.445,11
188,I,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5
189,I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
190,M,0.44,0.325,0.115,0.39,0.163,0.087,0.113,7
191,F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10
192,I,0.16,0.12,0.02,0.018000000000000002,0.0075,0.0045,0.005,4
193,M,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,11
194,M,0.46,0.38,0.135,0.48200000000000004,0.207,0.1225,0.145,10
195,I,0.555,0.43,0.15,0.7829999999999999,0.345,0.1755,0.247,9
196,M,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10
197,M,0.46,0.35,0.12,0.515,0.22399999999999998,0.10800000000000001,0.1565,10
198,F,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16
199,I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
200,F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10
201,F,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10
202,M,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,13
203,M,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12
204,I,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6
205,I,0.59,0.47,0.145,0.9740000000000001,0.45299999999999996,0.23600000000000002,0.289,8
206,F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
207,I,0.51,0.395,0.13,0.6025,0.281,0.14300000000000002,0.162,7
208,I,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8
209,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13
210,F,0.555,0.405,0.12,0.9129999999999999,0.4585,0.196,0.2065,9
211,I,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095,8
212,F,0.51,0.4,0.14,0.8145,0.45899999999999996,0.1965,0.195,10
213,M,0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12
214,M,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
215,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14
216,M,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,13
217,I,0.445,0.33,0.1,0.43700000000000006,0.163,0.0755,0.17,13
218,M,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10
219,F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12
220,I,0.465,0.37,0.115,0.534,0.261,0.098,0.14300000000000002,7
221,M,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10
222,I,0.52,0.41,0.145,0.6459999999999999,0.2965,0.1595,0.165,9
223,M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11
224,I,0.255,0.185,0.07,0.075,0.027999999999999997,0.018000000000000002,0.025,6
225,F,0.47,0.375,0.105,0.513,0.23199999999999998,0.142,0.13,11
226,M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9
227,I,0.605,0.435,0.13,0.9025,0.43200000000000005,0.174,0.26,11
228,I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
229,M,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10
230,I,0.41,0.325,0.11,0.326,0.1325,0.075,0.10099999999999999,8
231,I,0.575,0.45,0.145,0.795,0.364,0.1505,0.26,10
232,F,0.52,0.41,0.16,0.7120000000000001,0.2845,0.153,0.225,10
233,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
234,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
235,F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
236,I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.08199999999999999,5
237,F,0.605,0.48,0.175,1.1685,0.4815,0.2305,0.35600000000000004,9
238,M,0.6,0.41,0.145,0.9390000000000001,0.4475,0.196,0.268,8
239,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
240,F,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,11
241,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
242,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
243,I,0.435,0.33,0.095,0.39299999999999996,0.21899999999999997,0.075,0.0885,6
244,M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
245,F,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13
246,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
247,I,0.535,0.4,0.135,0.775,0.368,0.20800000000000002,0.2055,8
248,I,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6
249,M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
250,F,0.725,0.56,0.21,2.141,0.65,0.39799999999999996,1.005,18
251,I,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9
252,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7
253,F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
254,F,0.645,0.51,0.19,1.3630000000000002,0.573,0.36200000000000004,0.36,10
255,F,0.52,0.41,0.17,0.8705,0.3735,0.21899999999999997,0.25,14
256,I,0.515,0.385,0.125,0.5720000000000001,0.237,0.1435,0.165,7
257,F,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12
258,M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
259,I,0.45,0.355,0.115,0.4385,0.184,0.10800000000000001,0.1125,11
260,M,0.475,0.37,0.125,0.649,0.34700000000000003,0.136,0.142,8
261,F,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14
262,F,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,16
263,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
264,F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
265,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10
266,M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
267,I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
268,I,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,6
269,M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
270,M,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9
271,I,0.455,0.355,0.105,0.37200000000000005,0.138,0.0765,0.135,9
272,M,0.72,0.545,0.195,1.7475,0.8215,0.38299999999999995,0.4705,11
273,M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.21600000000000003,8
274,I,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9
275,M,0.63,0.5,0.185,1.3619999999999999,0.5785,0.3125,0.384,10
276,I,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.07200000000000001,7
277,F,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10
278,I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
279,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
280,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
281,F,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,10
282,M,0.615,0.47,0.15,1.0875,0.4975,0.28300000000000003,0.2685,9
283,F,0.49,0.375,0.15,0.5755,0.22,0.14400000000000002,0.19,9
284,F,0.615,0.475,0.155,1.0270000000000001,0.447,0.25,0.285,9
285,I,0.54,0.425,0.13,0.7205,0.2955,0.16899999999999998,0.225,10
286,F,0.57,0.45,0.17,1.0979999999999999,0.414,0.187,0.405,20
287,M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8
288,I,0.26,0.205,0.07,0.09699999999999999,0.0415,0.019,0.0305,4
289,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
290,I,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9
291,I,0.41,0.325,0.1,0.3245,0.132,0.07200000000000001,0.106,6
292,I,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9
293,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
294,M,0.725,0.505,0.185,1.9780000000000002,1.026,0.4255,0.4505,12
295,I,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7
296,M,0.5,0.405,0.14,0.6155,0.24100000000000002,0.1355,0.205,9
297,F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
298,M,0.335,0.25,0.09,0.18100000000000002,0.0755,0.0415,0.06,7
299,F,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11
300,F,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,8
301,I,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
302,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
303,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
304,M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
305,F,0.515,0.405,0.12,0.6459999999999999,0.2895,0.1405,0.177,10
306,M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10
307,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
308,M,0.555,0.45,0.175,0.8740000000000001,0.3275,0.20199999999999999,0.305,10
309,M,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,11
310,I,0.2,0.155,0.04,0.0435,0.0155,0.009000000000000001,0.006999999999999999,4
311,I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
312,M,0.56,0.43,0.155,0.8675,0.4,0.172,0.22899999999999998,8
313,M,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,10
314,F,0.625,0.52,0.18,1.354,0.4845,0.35100000000000003,0.375,11
315,M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10
316,I,0.435,0.325,0.11,0.36700000000000005,0.1595,0.08,0.105,6
317,I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6
318,I,0.38,0.3,0.1,0.28600000000000003,0.1305,0.055999999999999994,0.09,7
319,I,0.51,0.385,0.15,0.625,0.3095,0.11900000000000001,0.1725,8
320,M,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,9
321,I,0.35,0.265,0.08,0.2,0.09,0.042,0.06,7
322,I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8
323,I,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8
324,F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10
325,F,0.645,0.52,0.19,1.3105,0.58,0.28800000000000003,0.37,12
326,I,0.53,0.38,0.125,0.616,0.292,0.113,0.185,8
327,I,0.53,0.42,0.14,0.6765,0.256,0.1855,0.20800000000000002,9
328,I,0.44,0.335,0.115,0.4215,0.17300000000000001,0.0765,0.113,7
329,F,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,9
330,M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
331,I,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,8
332,F,0.47,0.365,0.12,0.5429999999999999,0.2295,0.1495,0.15,9
333,M,0.585,0.51,0.16,1.218,0.639,0.24100000000000002,0.3,11
334,I,0.315,0.23,0.07,0.14400000000000002,0.053,0.0305,0.04,8
335,F,0.455,0.355,1.13,0.594,0.332,0.11599999999999999,0.1335,8
336,I,0.36,0.27,0.09,0.23199999999999998,0.12,0.0435,0.055999999999999994,8
337,I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.14300000000000002,8
338,I,0.365,0.275,0.09,0.2345,0.10800000000000001,0.051,0.0625,7
339,F,0.43,0.35,0.09,0.397,0.1575,0.08900000000000001,0.12,9
340,F,0.675,0.57,0.225,1.587,0.7390000000000001,0.2995,0.435,10
341,M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8
342,F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16
343,I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8
344,M,0.545,0.42,0.12,0.7865,0.40299999999999997,0.185,0.17,7
345,F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16
346,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
347,I,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1,5
348,I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5
349,I,0.18,0.135,0.08,0.033,0.0145,0.006999999999999999,0.01,5
350,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
351,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
352,I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,7
353,I,0.2,0.145,0.06,0.037000000000000005,0.0125,0.0095,0.011000000000000001,4
354,I,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6
355,M,0.635,0.515,0.17,1.275,0.509,0.28600000000000003,0.34,16
356,M,0.51,0.38,0.135,0.6809999999999999,0.3435,0.142,0.17,9
357,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
358,F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8
359,I,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,9
360,I,0.345,0.255,0.085,0.2005,0.105,0.037000000000000005,0.05,5
361,F,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
362,M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12
363,M,0.6,0.46,0.17,1.1805,0.456,0.337,0.32899999999999996,11
364,M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20
